line_id,variant_id,noisy,clean
3,0,فريم خانلغی ایسه قريم شبه جزيرەنك جنوبنده كائ ب طار براراضی پارچه سندن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,1,ريم خا نل غی ایسه فرکم به جزيريەسنك جنوبنده كائن طار براراضی پرچه سندن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,2,قريم خانلرغی ایسه قر يم شبه جزيرصەسك جنوبنده كائن طار برااضی پارچهه سندن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,3,قريم خاثلغی ایسه قزيم شيه جزيرەسنك جنوبنده کائن طار براراضی پارچ سبذن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,4,قريم خانلغی ایسه قزكم شبه جزيرەسنك جنوبنده كائن طار برازاضی پارچه سثدن ضرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,5,قرکم خابلغی ایسه قرم شبه جزيرەسنک جنوبنده كىئن طار براراضی پارچه سندن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,6,قريم خانلغیایسه قريم شبه جزيرەسنکجنوبنده كائن طار برىراضی پازچه س ندن ضر ف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,7,قريم خانلغی ایسه قري شبه زيرەسنك جنوبنده كائ طار براراضی پارچهسن ذن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,8,قريم جانلغی ایسه قر يمشبه جزيرەسنك جنوبنده كائن طىر براراصی پازه سندن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,9,قريم خانلعی ایسه قريم شبهجزيرەسنکك جثوبثده كئن طار برىراضی پارچه سندن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,10,قريم خانلغتی ایش قريم شبه جزيرەسنك جنوبندةكىئن طار براراضی پارچه شندن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,11,قريم انلغی ایسه قريمشبه جزيرەسنك جنوبنده كائث طار براراصی پارچه سنيدن صر ف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,12,فركم خانلغی ایسه قريم ش بة جزيرەسنك جنوبنده کاعئن طار ثراراصی پارچهه سندن صرف نظ ر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,13,قزيم خانلغی ایفسه قريم شبه جزيرەسيك جنوجبنده كئن طار براراضی پارچه سبدن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,14,قرم خانلغی ایسه قريم شة جزيرەسنك جثوبندهى كائن طىر برارای پاره سندن زف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,15,قريم خانلغی ایسه ريمشبه جزيرەسنك جنو بنده كا ئن طار برراصی پارچه سندن صرف نطر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,16,قريم خانلی ایسه قريم شتة جريرەسنك جنوب نده كائن طار يراراضی پىرچه شندن صرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,17,ق رىم خانلغی ىیسة قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سبدنضرف نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
3,18,قريم خانلی ایسه قريم به زکرەسنك جنوبنده ك ئن ظار برارای پارچه سندن صرق نظر,قريم خانلغی ایسه قريم شبه جزيرەسنك جنوبنده كائن طار براراضی پارچه سندن صرف نظر
