sample_id,source_title,page_id,line_id,image_url,ocr_engine,ocr_text,clean_text,notes,review_status,review_note
real_044_001,Ukraina Russia Turkey,page_044,line_001,local,tesseract_ara_psm6,عصر نصف اولك صوكنه طوغرى اوقراما حاتى بر جوق عالمار »,عصر نصف اولنك صوكنه طوغرى اوقراینا حیاتی بر چوق عالملر،,Arabic-only Tesseract OCR; starter alignment from Wikisource transcription,good,
real_044_002,Ukraina Russia Turkey,page_044,line_002,local,tesseract_ara_psm6,ادمار تشديرمشدر . بونلرك اوقراينا تارخى واتنوغىافسى حقنده,اديبلر يتيشدير مشدر. بونلرك اوقراينا تاریخی واتنوغرافيسى حقنده,Arabic-only Tesseract OCR; starter alignment from Wikisource transcription,good,
real_044_003,Ukraina Russia Turkey,page_044,line_003,local,tesseract_ara_psm6,بازش اولدقارى اترار» اوكراساعاومق» اووويا علماريتك سويسته,يازمش اولدقلری اثرلر، اوقرانيا علومنی، آوروپا عاملرينك سويەسنه,Arabic-only Tesseract OCR; starter alignment from Wikisource transcription,good,
real_044_004,Ukraina Russia Turkey,page_044,line_004,local,tesseract_ara_psm6,قادار ح.قارمش وعنى زمانده اوقراينا اقفكار مله وسساسهدسنك,قادار چیقارمش وعينى زمانده اوقراينا افكار مليه وسياسيەسنك,Arabic-only Tesseract OCR; starter alignment from Wikisource transcription,good,
real_044_005,Ukraina Russia Turkey,page_044,line_005,local,tesseract_ara_psm6,تعميق وتوستى اجون مهم برر سائق اواشاردر . بودورهيهمنسوب,تعميق وتوسیعی ايچون مهم برر سائق اولمشلردر. بودوره به منسوب,Arabic-only Tesseract OCR; starter alignment from Wikisource transcription,good,
real_044_006,Ukraina Russia Turkey,page_044,line_006,local,tesseract_ara_psm6,علما وادبادن » مورخ ( قوستوماروف ) » اتنوغيافى متتخصصى,علما وادبادن، مورخ (قوستوماروف)، اتنوغرافي متخصصی,Arabic-only Tesseract OCR; starter alignment from Wikisource transcription,good,
real_044_007,Ukraina Russia Turkey,page_044,line_007,local,tesseract_ara_psm6,( جوينسكى ) ومورخ وشاع ( قوليش )ك2 اسمارى ذكر,(چوبينسكي) ومورخ وشاعر (قوليش)ك اسملرى ذكر ایديلمليدرلر.,Arabic-only Tesseract OCR; starter alignment from Wikisource transcription,good,
real_044_008,Ukraina Russia Turkey,page_044,line_010,local,tesseract_ara_psm6,اد طلدرار .,فقط بواسملرك قعرنده اوقراينانك بوتون قوای فطریه سنی تمثیل ايدن,Arabic-only Tesseract OCR; starter alignment from Wikisource transcription,suspicious,probable alignment break: OCR line is much shorter than clean
real_044_009,Ukraina Russia Turkey,page_044,line_011,local,tesseract_ara_psm6,فقط بواسمارك قعرنده اوقراينالك بوتون قواى فطر يوسن ى شل,بويوك اوقراينا شاعری (طاراس شەوچەنقو)نك اسمى,Arabic-only Tesseract OCR; starter alignment from Wikisource transcription,suspicious,possible page_044 one-line alignment shift after real_044_008
real_044_010,Ukraina Russia Turkey,page_044,line_012,local,tesseract_ara_psm6,ايدن بوبوك اوقراينا شاعرى (طاراس شهوحهمو ) نك اسمى,بولونمقدەدر. (شەوچەنقو)، اوقرانيا قرەطوپراغنك وشاعر ملتنك,Arabic-only Tesseract OCR; starter alignment from Wikisource transcription,suspicious,possible page_044 one-line alignment shift after real_044_008
