dataset,method,metric,n,mean,ci95_low,ci95_high
real_ocr_line_level,Real OCR identity,CER,90,0.4507688,0.3886768666666666,0.519987822222222
real_ocr_line_level,Strict guard / fallback,CER,90,0.4361438444444445,0.3754665777777778,0.5033366999999997
real_ocr_line_level,Synthetic-trained ByT5 on real OCR,CER,90,0.4361438444444445,0.3754665777777778,0.5033366999999997
synthetic_test,ByT5-small 512 / 2 epochs,CER,800,0.07991318800059595,0.06502007615920881,0.09898361432375417
synthetic_test,Identity baseline,CER,800,0.08600503826475009,0.08410535646070195,0.08784604106675459
synthetic_test,Rule-based normalizer,CER,800,0.15193232255555641,0.1494501665306201,0.15436650433965649
synthetic_test,Train-derived char-confusion baseline,CER,800,0.08251987710265078,0.08066061427879678,0.08428493553982949
synthetic_test,ByT5-small 512 / 2 epochs,NoSpaceCER,800,0.07992621283486379,0.06516929790360335,0.09863573590228975
synthetic_test,Identity baseline,NoSpaceCER,800,0.08325248418032663,0.08127162193786437,0.08520285112777719
synthetic_test,Rule-based normalizer,NoSpaceCER,800,0.16004081157880223,0.15727450536225424,0.1628296496953292
synthetic_test,Train-derived char-confusion baseline,NoSpaceCER,800,0.07920891585431471,0.07730125786382802,0.08112999305398666
synthetic_test,ByT5-small 512 / 2 epochs,WER,800,0.3685396017212705,0.34963110298444605,0.39144182930561106
synthetic_test,Identity baseline,WER,800,0.5190061500904871,0.5081838302591035,0.5299818910587127
synthetic_test,Rule-based normalizer,WER,800,0.6844078530600984,0.6741426885793436,0.6945135030882991
synthetic_test,Train-derived char-confusion baseline,WER,800,0.5061886667866281,0.4951815783671942,0.5171641561267917
