config,method,CER,WER,ExactMatch,N,NoSpaceCER,mean_noisy_clean_word_delta,same_word_count_share,more_words_share,fewer_words_share,mean_noisy_clean_char_delta,mean_abs_noisy_clean_char_delta,noise_substitute_prob,noise_delete_prob,noise_insert_prob,noise_space_delete_prob,noise_space_insert_prob,noise_normalize_confusion_prob,noise_punctuation_drop_prob
default_reseed,Identity baseline,0.08713423463538834,0.5220789186796371,0.00125,800.0,0.08388033085102622,0.67625,0.32875,0.505,0.16625,-0.4525,1.9575,0.06,0.025,0.015,0.035,0.015,0.04,0.02
default_reseed,Rule-based normalizer,0.15307351213560635,0.6888730857500192,0.0,800.0,0.16080253886347406,0.67625,0.32875,0.505,0.16625,-0.4525,1.9575,0.06,0.025,0.015,0.035,0.015,0.04,0.02
default_reseed,Train-derived char-confusion baseline,0.08156278499950104,0.5032428688880061,0.0,800.0,0.07740539256729928,0.67625,0.32875,0.505,0.16625,-0.4525,1.9575,0.06,0.025,0.015,0.035,0.015,0.04,0.02
reduced_whitespace,Identity baseline,0.07886755283094765,0.442753107545463,0.0,800.0,0.08592797146688982,0.22125,0.61125,0.275,0.11375,-0.89125,1.87125,0.06,0.025,0.015,0.01,0.005,0.04,0.02
reduced_whitespace,Rule-based normalizer,0.14462075138870092,0.6213709671393546,0.0,800.0,0.16248768421299398,0.22125,0.61125,0.275,0.11375,-0.89125,1.87125,0.06,0.025,0.015,0.01,0.005,0.04,0.02
reduced_whitespace,Train-derived char-confusion baseline,0.07366068148792596,0.4226199794573937,0.0,800.0,0.07989204989704957,0.22125,0.61125,0.275,0.11375,-0.89125,1.87125,0.06,0.025,0.015,0.01,0.005,0.04,0.02
no_whitespace,Identity baseline,0.07445676758350633,0.3945201923055498,0.00125,800.0,0.08629550166635644,-0.0075,0.9925,0.0,0.0075,-1.1725,1.815,0.06,0.025,0.015,0.0,0.0,0.04,0.02
no_whitespace,Rule-based normalizer,0.14053398595826613,0.5839036978699021,0.0,800.0,0.16321097447935215,-0.0075,0.9925,0.0,0.0075,-1.1725,1.815,0.06,0.025,0.015,0.0,0.0,0.04,0.02
no_whitespace,Train-derived char-confusion baseline,0.07118200644016501,0.3818690115440738,0.0025,800.0,0.08250003606297854,-0.0075,0.9925,0.0,0.0075,-1.1725,1.815,0.06,0.025,0.015,0.0,0.0,0.04,0.02
low_noise,Identity baseline,0.045629833441805365,0.31403912416341095,0.015,800.0,0.04387821044881585,0.39,0.46875,0.39125,0.14,-0.14,1.3675,0.03,0.0125,0.0075,0.0175,0.0075,0.02,0.01
low_noise,Rule-based normalizer,0.11770452368012409,0.5566752846136187,0.0,800.0,0.12788796218937404,0.39,0.46875,0.39125,0.14,-0.14,1.3675,0.03,0.0125,0.0075,0.0175,0.0075,0.02,0.01
low_noise,Train-derived char-confusion baseline,0.044025499711030765,0.3057169179323138,0.015,800.0,0.04202667710643227,0.39,0.46875,0.39125,0.14,-0.14,1.3675,0.03,0.0125,0.0075,0.0175,0.0075,0.02,0.01
char_heavy_no_whitespace,Identity baseline,0.094016318642181,0.4723281069751817,0.0,800.0,0.1090283155953716,-0.015,0.985,0.0,0.015,-1.05125,1.81875,0.08,0.03,0.02,0.0,0.0,0.05,0.02
char_heavy_no_whitespace,Rule-based normalizer,0.15629586670451365,0.6255669774563944,0.0,800.0,0.18139035972281548,-0.015,0.985,0.0,0.015,-1.05125,1.81875,0.08,0.03,0.02,0.0,0.0,0.05,0.02
char_heavy_no_whitespace,Train-derived char-confusion baseline,0.08645133020798616,0.44363267402309864,0.0,800.0,0.10021162223599647,-0.015,0.985,0.0,0.015,-1.05125,1.81875,0.08,0.03,0.02,0.0,0.0,0.05,0.02
