rank,char,count,share,unicode
1,<space>,130280,0.1420409943305713,U+0020
2,ا,97780,0.10660706498037506,U+0627
3,ر,62620,0.0682730047972089,U+0631
4,و,61480,0.06703009158307893,U+0648
5,ن,52940,0.0577191452245966,U+0646
6,ل,48840,0.05324901875272569,U+0644
7,ی,46360,0.0505451373746184,U+06CC
8,د,41660,0.045420846053205406,U+062F
9,ي,34760,0.037897950283471434,U+064A
10,ه,34660,0.03778892280854775,U+0647
11,م,34440,0.037549062363715656,U+0645
12,ت,32740,0.03569559529001309,U+062A
13,ق,25140,0.027409507195813344,U+0642
14,ب,23380,0.025490623637156564,U+0628
15,س,23060,0.025141735717400786,U+0633
16,ك,18080,0.019712167466201483,U+0643
17,ە,11540,0.01258177060619276,U+06D5
18,ک,10600,0.01155691234191016,U+06A9
19,ع,10400,0.0113388573920628,U+0639
20,ش,9860,0.010750109027474924,U+0634
21,ف,8400,0.009158307893589184,U+0641
22,ح,8120,0.008853030963802879,U+062D
23,ج,7960,0.008678587003924989,U+062C
24,.,7880,0.008591365023986044,U+002E
25,ى,6280,0.006846925425207152,U+0649
26,ز,5820,0.006345399040558221,U+0632
27,ص,5440,0.005931094635848234,U+0635
28,خ,4720,0.005146096816397733,U+062E
29,ط,4720,0.005146096816397733,U+0637
30,غ,4000,0.00436109899694723,U+063A
31,چ,3840,0.004186655037069342,U+0686
32,(,3520,0.003837767117313563,U+0028
33,),3500,0.003815961622328827,U+0029
34,آ,3420,0.003728739642389882,U+0622
35,پ,3060,0.0033362407326646315,U+067E
36,،,2580,0.002812908853030964,U+060C
37,ض,1860,0.0020279110335804625,U+0636
38,ئ,1700,0.001853467073702573,U+0626
39,ث,1600,0.0017444395987788923,U+062B
40,أ,1380,0.0015045791539467946,U+0623
