rank,char,count,share,unicode
1,<space>,135073,0.14784503706168484,U+0020
2,ا,90524,0.09908363725520243,U+0627
3,و,59969,0.06563946182843483,U+0648
4,ر,58325,0.06384001085800099,U+0631
5,ن,49866,0.05458115699005705,U+0646
6,ل,47596,0.05209651361847261,U+0644
7,ی,45177,0.04944878132073572,U+06CC
8,د,38577,0.04222470808176775,U+062F
9,ي,33679,0.036863570093212436,U+064A
10,م,33557,0.036730034193946666,U+0645
11,ت,31408,0.034377832165076644,U+062A
12,ه,31282,0.03423991803960543,U+0647
13,ق,23854,0.026109551976112397,U+0642
14,ب,23124,0.025310525693620488,U+0628
15,س,22093,0.02418203788916958,U+0633
16,ك,17936,0.01963196630517112,U+0643
17,ى,13020,0.014251126298691349,U+0649
18,ک,11939,0.013067910666672504,U+06A9
19,ە,11265,0.012330179551056685,U+06D5
20,ش,10695,0.011706282316782179,U+0634
21,ع,10123,0.011080195969404955,U+0639
22,ف,9562,0.010466149744092679,U+0641
23,ز,9183,0.0100513128111277,U+0632
24,ح,8235,0.009013673200439574,U+062D
25,ج,7828,0.008568188684036549,U+062C
26,.,7547,0.008260618293104732,U+002E
27,ص,5473,0.0059905080055866165,U+0635
28,خ,4907,0.005370988997517546,U+062E
29,ط,4749,0.005198049062402858,U+0637
30,غ,4693,0.0051367538955267664,U+063A
31,ة,3957,0.0043311602737267025,U+0629
32,چ,3735,0.004088168719325052,U+0686
33,ذ,3575,0.003913039671107648,U+0630
34,آ,3557,0.003893337653183189,U+0622
35,ث,3372,0.0036908446911818145,U+062B
36,(,3354,0.0036711426732573566,U+0028
37,),3349,0.0036656698905005625,U+0029
38,پ,2986,0.0032683458623573246,U+067E
39,،,2467,0.0027002710122021162,U+060C
40,ض,2375,0.0025995718094771083,U+0636
