source_char,target_char,count,total_source_count,ratio,accepted,source_unicode,target_unicode
ة,ه,2513,3089,0.813531887342182,True,U+0629,U+0647
إ,,283,365,0.7753424657534247,True,U+0625,EMPTY
 , ,99966,107453,0.9303230249504435,False,U+0020,U+0020
ا,ا,71126,71934,0.9887674813023049,False,U+0627,U+0627
و,و,47266,47334,0.9985634005154856,False,U+0648,U+0648
ر,ر,45527,46166,0.9861586448901789,False,U+0631,U+0631
ن,ن,38035,39074,0.973409428264319,False,U+0646,U+0646
ل,ل,37808,37863,0.9985473945540502,False,U+0644,U+0644
ی,ی,36230,36293,0.9982641280687736,False,U+06CC,U+06CC
د,د,30399,30776,0.9877501949571095,False,U+062F,U+062F
ي,ي,24271,26716,0.9084818086539901,False,U+064A,U+064A
م,م,26506,26544,0.9985684147076552,False,U+0645,U+0645
ه,ه,23993,24730,0.9701981399110392,False,U+0647,U+0647
ت,ت,23388,24575,0.9516988809766023,False,U+062A,U+062A
ق,ق,18326,18980,0.9655426765015807,False,U+0642,U+0642
ب,ب,17532,18814,0.9318592537472096,False,U+0628,U+0628
س,س,17194,17979,0.9563379498303577,False,U+0633,U+0633
ك,ك,12493,14147,0.8830847529511557,False,U+0643,U+0643
ى,ى,4406,10374,0.42471563524195105,False,U+0649,U+0649
ک,ک,7573,9653,0.7845229462343313,False,U+06A9,U+06A9
ە,ە,9053,9058,0.9994480017663944,False,U+06D5,U+06D5
ش,ش,6913,8299,0.8329919267381612,False,U+0634,U+0634
ع,ع,7366,7897,0.9327592756743067,False,U+0639,U+0639
ف,ف,6169,7599,0.8118173443874194,False,U+0641,U+0641
ز,ز,4266,7358,0.5797771133460179,False,U+0632,U+0632
ح,ح,5856,6496,0.9014778325123153,False,U+062D,U+062D
.,.,6000,6001,0.9998333611064822,False,U+002E,U+002E
ج,ج,5533,5968,0.9271112600536193,False,U+062C,U+062C
ص,ص,4048,4432,0.9133574007220217,False,U+0635,U+0635
خ,خ,3435,3908,0.8789662231320369,False,U+062E,U+062E
غ,غ,2951,3747,0.7875633840405658,False,U+063A,U+063A
ط,ط,3365,3707,0.907742109522525,False,U+0637,U+0637
